BAIRRO,MARCA_OBJETO,DIA_SEMANA,PERIODO,IDADE,SEXO
GRAJAU,Motorola,SEGUNDA,NOITE,23,MULHER
VILA GUILHERME,Outros,SEXTA,TARDE,23,MULHER
SAO RAFAEL,Samsung,TERCA,NOITE,62,MULHER
VILA ANDRADE,Apple,QUARTA,NOITE,45,MULHER
VILA ANDRADE,Samsung,SEXTA,MANHA,72,HOMEM
TATUAPE,Samsung,TERCA,TARDE,27,HOMEM
SAUDE,Samsung,SEXTA,NOITE,33,MULHER
RIO PEQUENO,Motorola,SABADO,NOITE,33,HOMEM
CONSOLACAO,Xiaomi,DOMINGO,MADRUGADA,29,HOMEM
JARDIM ANGELA,Samsung,DOMINGO,MANHA,30,MULHER
SAO MIGUEL PAULISTA,Samsung,QUINTA,TARDE,65,MULHER
VILA CURUCA,Xiaomi,QUARTA,TARDE,25,MULHER
SANTO AMARO,Apple,SEXTA,NOITE,34,HOMEM
JARDIM COLINA,Motorola,QUINTA,MADRUGADA,74,HOMEM
SAO MIGUEL,Samsung,SEXTA,NOITE,35,MULHER
JAGUARA,Motorola,SABADO,TARDE,33,MULHER
CERQUEIRA CESAR,Samsung,DOMINGO,TARDE,36,HOMEM
SAO MATEUS,Samsung,TERCA,MANHA,20,MULHER
PEDREIRA,Apple,TERCA,MANHA,43,HOMEM
VILA NOVA GALVAO,Motorola,SABADO,MANHA,56,MULHER
REPUBLICA,Xiaomi,SABADO,MANHA,15,HOMEM
CAMPO GRANDE,Xiaomi,SABADO,MADRUGADA,36,MULHER
ITAQUERA,Motorola,TERCA,MANHA,84,HOMEM
FURNAS,Xiaomi,QUARTA,MANHA,21,MULHER
IPIRANGA,Samsung,DOMINGO,TARDE,19,MULHER
VILA FORMOSA,Samsung,DOMINGO,MANHA,55,HOMEM
RESIDENCIAL TAIPAS,Samsung,QUARTA,MANHA,58,HOMEM
CIDADE DUTRA,Samsung,DOMINGO,MADRUGADA,37,MULHER
PARELHEIROS,Samsung,QUARTA,TARDE,42,HOMEM
BRAS,Samsung,SEXTA,NOITE,23,MULHER
PARI,Apple,DOMINGO,MADRUGADA,34,MULHER
BRAS,Samsung,SEXTA,MANHA,25,HOMEM
JARDIM ANGELA,Samsung,QUARTA,MANHA,15,MULHER
CIDADE ADEMAR,Xiaomi,DOMINGO,TARDE,26,MULHER
JABAQUARA,Samsung,SEGUNDA,TARDE,44,MULHER
PINHEIROS,Apple,SABADO,MANHA,34,HOMEM
SE,Apple,DOMINGO,TARDE,35,HOMEM
CAPAO REDONDO,Apple,SABADO,NOITE,45,HOMEM
JARDIM CASA GRANDE,Samsung,DOMINGO,NOITE,47,HOMEM
VILA CAMPANELA,Samsung,SEGUNDA,NOITE,42,HOMEM
VILA CAMPANELA,Samsung,SEGUNDA,MANHA,19,HOMEM
PARQUE BOA ESPERANCA,Motorola,SEXTA,NOITE,31,HOMEM
IPIRANGA,Apple,SEGUNDA,MANHA,54,MULHER
CONSOLACAO,Xiaomi,SEXTA,NOITE,29,MULHER
CANINDE,Samsung,DOMINGO,MADRUGADA,15,HOMEM
JARDIM SAPOPEMBA,Samsung,SABADO,MADRUGADA,19,MULHER
JAGUARE,Motorola,TERCA,MADRUGADA,55,HOMEM
VILA DA SAUDE,Samsung,TERCA,MANHA,22,MULHER
IPIRANGA,Samsung,QUARTA,NOITE,16,HOMEM
CERQUEIRA CESAR,Samsung,SEXTA,NOITE,19,HOMEM
VILA JAGUARA,Motorola,QUARTA,NOITE,28,MULHER
VILA MEDEIROS,LG,TERCA,TARDE,56,MULHER
MOEMA,Motorola,SEXTA,TARDE,23,MULHER
VILA MARIA,Samsung,TERCA,MANHA,31,MULHER
SANTO AMARO,Apple,SEXTA,MANHA,38,HOMEM
BOM RETIRO,Samsung,TERCA,NOITE,20,MULHER
CAMBUCI,Apple,SABADO,TARDE,54,HOMEM
ALTO DE PINHEIROS,Motorola,SEXTA,NOITE,31,HOMEM
LAPA,Apple,QUARTA,MANHA,27,HOMEM
JARDIM PEROLA II,Samsung,QUINTA,TARDE,31,HOMEM
CIDADE ADEMAR,Samsung,QUINTA,MANHA,62,MULHER
VILA MARIA,Motorola,SEXTA,NOITE,44,MULHER
BELA VISTA,Motorola,TERCA,TARDE,38,MULHER
SAUDE,Apple,SABADO,NOITE,51,HOMEM
BOM RETIRO,Outros,SEXTA,MANHA,30,MULHER
CAMPO LIMPO,Apple,TERCA,MANHA,32,HOMEM
LIBERDADE,Xiaomi,QUINTA,NOITE,63,MULHER
JARDIM NELIA,Xiaomi,DOMINGO,MADRUGADA,33,HOMEM
JARDIM HELENA,Apple,SEXTA,MANHA,30,HOMEM
BELA VISTA,Apple,QUARTA,TARDE,23,HOMEM
VILA PRUDENTE,Apple,SEXTA,NOITE,63,MULHER
BRAS,Samsung,TERCA,NOITE,35,HOMEM
PERDIZES,Samsung,SEXTA,NOITE,38,HOMEM
COLONIA (ZONA LESTE),Samsung,QUINTA,MANHA,22,HOMEM
PENHA,Apple,DOMINGO,MADRUGADA,27,MULHER
ARICANDUVA,Samsung,DOMINGO,NOITE,15,HOMEM
CIDADE ADEMAR,Samsung,DOMINGO,NOITE,25,MULHER
VILA MARIANA,Motorola,TERCA,TARDE,54,MULHER
RIO PEQUENO,Motorola,QUINTA,TARDE,28,HOMEM
LAPA,Samsung,SEGUNDA,NOITE,16,MULHER
LIBERDADE,Outros,SABADO,NOITE,52,HOMEM
SE,Samsung,SEGUNDA,NOITE,30,MULHER
REPUBLICA,Motorola,DOMINGO,MADRUGADA,15,MULHER
PINHEIROS,Apple,SABADO,TARDE,19,MULHER
LIBERDADE,Samsung,SEXTA,NOITE,54,MULHER
ARTUR ALVIM,Outros,TERCA,MADRUGADA,72,HOMEM
VILA MARIA,Motorola,TERCA,NOITE,43,MULHER
SOCORRO,Samsung,SEXTA,TARDE,32,MULHER
PARI,Apple,QUARTA,NOITE,21,MULHER
TATUAPE,Apple,TERCA,NOITE,36,MULHER
VILA MARIA,Samsung,DOMINGO,MANHA,45,HOMEM
VILA JACUI,Apple,SEXTA,MADRUGADA,20,MULHER
MORUMBI,Apple,DOMINGO,TARDE,48,MULHER
SAO MATEUS,Samsung,SEXTA,NOITE,26,MULHER
REPUBLICA,Apple,DOMINGO,TARDE,16,HOMEM
JARDIM DAS CAMELIAS,Motorola,TERCA,TARDE,66,HOMEM
JABAQUARA,Samsung,SABADO,TARDE,43,MULHER
CAPAO REDONDO,Xiaomi,TERCA,MANHA,37,MULHER
JARDIM CASABLANCA,Samsung,DOMINGO,TARDE,40,MULHER
VILA SONIA,Apple,TERCA,NOITE,22,MULHER
CONSOLACAO,Apple,TERCA,TARDE,37,HOMEM
ITAIM PAULISTA,Outros,SEGUNDA,TARDE,25,HOMEM
BOM R,Apple,TERCA,MANHA,18,MULHER
SAO MATEUS,Samsung,TERCA,TARDE,20,MULHER
PERDIZES,Apple,SEGUNDA,NOITE,32,HOMEM
LIMAO,Motorola,SEGUNDA,MADRUGADA,30,MULHER
MOEMA,Apple,DOMINGO,NOITE,30,MULHER
ITAIM BIBI,Apple,SEXTA,TARDE,52,MULHER
BRASILANDIA,LG,QUARTA,MADRUGADA,38,MULHER
BUTANTA,Apple,SEXTA,NOITE,33,HOMEM
MOOCA,Apple,TERCA,NOITE,16,HOMEM
LAJEADO,Motorola,SEGUNDA,MADRUGADA,79,HOMEM
VILA CURUCA,Samsung,QUINTA,NOITE,57,HOMEM
LAJEADO,Apple,DOMINGO,TARDE,63,HOMEM
CARRAO,Xiaomi,QUARTA,NOITE,58,MULHER
RIO PEQUENO,Motorola,QUARTA,MADRUGADA,42,MULHER
JARDIM COLINA,Motorola,SEXTA,NOITE,30,HOMEM
TATUAPE,Apple,DOMINGO,TARDE,30,MULHER
PIRITUBA,Samsung,TERCA,NOITE,28,MULHER
JARDIM PAULISTA,Apple,SEXTA,NOITE,29,MULHER
CARRAO,Motorola,DOMINGO,MADRUGADA,67,HOMEM
CAMPO LIMPO,Nokia,DOMINGO,TARDE,33,HOMEM
SE,Apple,QUARTA,TARDE,56,HOMEM
ERMELINO MATARAZZO,Motorola,SEXTA,MADRUGADA,30,HOMEM
PARI,Apple,SEXTA,NOITE,33,HOMEM
VILA SONIA,Samsung,SEXTA,NOITE,26,HOMEM
JARDIM PLANALTO,Xiaomi,TERCA,NOITE,40,HOMEM
PARADA,Samsung,SEGUNDA,TARDE,63,HOMEM
MOEMA,Apple,DOMINGO,NOITE,31,HOMEM
BELA VISTA,Apple,TERCA,NOITE,30,HOMEM
VILA MARIA,Samsung,QUINTA,MADRUGADA,26,HOMEM
LIBERDADE,Apple,SEXTA,NOITE,30,HOMEM
VILA ANDRADE,Xiaomi,TERCA,MADRUGADA,25,HOMEM
GRAJAU,Motorola,SABADO,TARDE,21,MULHER
CENTRO,Apple,SEXTA,NOITE,80,MULHER
CAMPO LIMPO,Samsung,SEXTA,NOITE,16,MULHER
CAMBUCI,Xiaomi,SABADO,MANHA,40,HOMEM
BARRA FUNDA,Apple,QUARTA,NOITE,34,MULHER
JARDIM SYDNEY,Motorola,TERCA,NOITE,18,HOMEM
PLANALTO PAULISTA,Apple,QUINTA,TARDE,56,HOMEM
SANTO AMARO,Samsung,DOMINGO,NOITE,18,MULHER
AGUA BRANCA,Xiaomi,TERCA,NOITE,47,HOMEM
CIDADE ADEMAR,Samsung,SEGUNDA,MANHA,27,MULHER
CAPAO REDONDO,LG,TERCA,MANHA,41,HOMEM
PENHA,Samsung,DOMINGO,TARDE,18,HOMEM
SAO MIGUEL,Samsung,SEGUNDA,TARDE,15,MULHER
BELEM,Samsung,DOMINGO,NOITE,34,HOMEM
JARDIM COLINA,Apple,SEGUNDA,MANHA,20,HOMEM
GRAJAU,Samsung,SEGUNDA,NOITE,19,HOMEM
SANTANA,Apple,QUARTA,NOITE,82,HOMEM
VILA ANDRADE,Apple,SABADO,MANHA,30,MULHER
SAO DOMINGOS,Samsung,TERCA,TARDE,22,HOMEM
PARELHEIROS,Samsung,TERCA,TARDE,25,MULHER
GRAJAU,Motorola,SEXTA,NOITE,28,HOMEM
SE,Motorola,QUARTA,MADRUGADA,33,HOMEM
SE,Apple,SABADO,TARDE,30,HOMEM
IPIRANGA,Outros,SEGUNDA,MANHA,30,HOMEM
CIDADE ANTONIO ESTEVAO DE CARVALHO,Outros,TERCA,NOITE,53,MULHER
BRASILANDIA,Samsung,DOMINGO,NOITE,58,HOMEM
PARELHEIROS,Apple,QUARTA,NOITE,42,MULHER
VILA CURUCA,Outros,QUARTA,MADRUGADA,22,HOMEM
PERDIZES,Apple,SEXTA,NOITE,19,HOMEM
LAJEADO,Samsung,TERCA,MANHA,15,HOMEM
SAUDE,Samsung,SABADO,TARDE,75,MULHER
VILA PRUDENTE,Apple,QUINTA,NOITE,41,HOMEM
JARDIM COLINA,Apple,TERCA,NOITE,46,HOMEM
SACOMA,Samsung,QUARTA,MANHA,28,HOMEM
CAPAO REDONDO,Apple,TERCA,NOITE,58,MULHER
REPUBLICA,Xiaomi,DOMINGO,MADRUGADA,18,MULHER
BELA VISTA,Asus,DOMINGO,TARDE,36,MULHER
SANTANA,Samsung,SEXTA,MANHA,54,HOMEM
MOOCA,Apple,SEXTA,NOITE,21,HOMEM
VILA MEDEIROS,Xiaomi,QUARTA,TARDE,36,MULHER
VILA MASCOTE,Motorola,SEGUNDA,MANHA,81,HOMEM
JARDIM PAULISTA,Motorola,SEXTA,MADRUGADA,38,MULHER
ITAIM PAULISTA,Samsung,TERCA,NOITE,38,MULHER
CIDADE ADEMAR,Motorola,DOMINGO,MADRUGADA,25,HOMEM
TATUAPE,Samsung,SEGUNDA,MANHA,54,MULHER
VILA SANTA CATARINA,Motorola,SABADO,MANHA,34,HOMEM
JARDIM SAO PAULO(ZONA LESTE),Apple,DOMINGO,NOITE,44,HOMEM
CIDADE ANTONIO ESTEVAO DE CARVALHO,Motorola,SABADO,MANHA,15,MULHER
CENTRO,Xiaomi,SABADO,TARDE,20,HOMEM
SAO DOMINGOS,Samsung,TERCA,TARDE,19,HOMEM
PENHA,Samsung,QUINTA,NOITE,54,MULHER
PINHEIROS,Apple,SABADO,NOITE,18,MULHER
SACOMA,Apple,QUINTA,NOITE,37,MULHER
ITAIM PAULISTA,Apple,DOMINGO,MADRUGADA,16,HOMEM
CAMPO LIMPO,Samsung,SEXTA,TARDE,35,HOMEM
JURUBATUBA,Asus,SEXTA,NOITE,18,HOMEM
VILA MARIANA,Samsung,SEXTA,NOITE,21,HOMEM
CIDADE DUTRA,Xiaomi,TERCA,MANHA,21,HOMEM
CAMPO LIMPO,Samsung,SEXTA,NOITE,16,MULHER
BALNEARIO SAO FRANCISCO,Motorola,QUINTA,TARDE,40,MULHER
SAO LUCAS,Motorola,SEXTA,MANHA,26,MULHER
SANTA CECILIA,Motorola,TERCA,NOITE,36,HOMEM
SAUDE,Samsung,SABADO,MANHA,32,HOMEM
SAO MATEUS,Motorola,SABADO,TARDE,26,HOMEM
REPUBLICA,Xiaomi,DOMINGO,TARDE,53,MULHER
ITAQUERA,Samsung,QUARTA,TARDE,33,MULHER
CIDADE ADEMAR,Motorola,QUINTA,NOITE,35,MULHER
VILA MARIANA,Samsung,DOMINGO,TARDE,80,MULHER
ERMELINO MATARAZZO,Motorola,QUARTA,MANHA,34,HOMEM
JABAQUARA,Apple,DOMINGO,MANHA,15,HOMEM
SOCORRO,Xiaomi,QUINTA,TARDE,56,MULHER
CARRAO,Apple,SABADO,NOITE,37,HOMEM
CENTRO,Motorola,QUARTA,NOITE,22,HOMEM
FREGUESIA DO O,Positivo,QUARTA,TARDE,34,MULHER
SANTA EFIGENIA,Samsung,SEXTA,NOITE,23,HOMEM
JARDIM SABIA II,Xiaomi,SEXTA,NOITE,18,MULHER
REPUBLICA,Asus,QUARTA,NOITE,34,HOMEM
VILA MARIANA,Xiaomi,QUARTA,NOITE,27,MULHER
JABAQUARA,Samsung,SEXTA,NOITE,21,MULHER
MOOCA,Motorola,SEXTA,NOITE,35,MULHER
ITAIM PAULISTA,Motorola,DOMINGO,NOITE,23,HOMEM
CIDADE DUTRA,Motorola,TERCA,NOITE,18,MULHER
ACLIMACAO,LG,DOMINGO,MANHA,33,MULHER
JD SAO LUIS,Samsung,SEXTA,MADRUGADA,18,MULHER
JARDIM HELENA,Samsung,QUARTA,TARDE,57,MULHER
JARDIM ANGELA,Samsung,SEXTA,NOITE,51,MULHER
VILA GUILHERME,Apple,SABADO,NOITE,49,HOMEM
ITAQUERA,Samsung,SEGUNDA,NOITE,35,MULHER
PLANALTO PAULISTA,Outros,QUINTA,NOITE,31,HOMEM
CAMPO LIMPO,Samsung,SEGUNDA,MADRUGADA,49,HOMEM
JAGUARE,Samsung,SEXTA,NOITE,58,MULHER
VILA JUREMA,Motorola,SEXTA,NOITE,18,HOMEM
JABAQUARA,Samsung,TERCA,NOITE,28,HOMEM
JD SAO LUIS,Apple,TERCA,NOITE,57,HOMEM
FREGUESIA DO O,Apple,SABADO,MADRUGADA,33,HOMEM
JACANA,Samsung,QUARTA,NOITE,69,MULHER
SANTANA,Xiaomi,DOMINGO,MADRUGADA,32,MULHER
SANTO AMARO,Apple,QUINTA,NOITE,19,MULHER
CIDADE JULIA,Xiaomi,SABADO,MADRUGADA,15,HOMEM
PARQUE DOS BANCARIOS,Outros,SEXTA,MADRUGADA,45,HOMEM
VILA DANUBIO AZUL,Motorola,TERCA,MADRUGADA,35,MULHER
SAO RAFAEL,Samsung,DOMINGO,NOITE,31,HOMEM
CIDADE ANTONIO ESTEVAO DE CARVALHO,Samsung,SEXTA,MANHA,52,MULHER
JD SAO LUIS,Motorola,SEGUNDA,MADRUGADA,23,HOMEM
CONJUNTO HABITACIONAL INSTITUTO ADVENTISTA,Motorola,QUINTA,NOITE,26,HOMEM
CAPAO REDONDO,Apple,SABADO,MADRUGADA,56,MULHER
LIBERDADE,Motorola,QUARTA,NOITE,33,HOMEM
CHACARA BELENZINHO,Motorola,SEXTA,NOITE,51,MULHER
GRAJAU,Motorola,TERCA,MANHA,18,MULHER
JARDIM ANGELA,Apple,QUARTA,NOITE,19,HOMEM
ARICANDUVA,Samsung,SABADO,NOITE,43,HOMEM
BOM RETIRO,Samsung,SEXTA,TARDE,55,HOMEM
VILA GUILHERME,Samsung,QUARTA,NOITE,71,MULHER
REPUBLICA,Motorola,TERCA,MANHA,16,MULHER
COLONIA (ZONA LESTE),Motorola,QUINTA,NOITE,62,MULHER
LAPA,Samsung,QUINTA,TARDE,57,MULHER
VILA DIVINA PASTORA,Motorola,SABADO,MADRUGADA,37,MULHER
JAGUARA,Apple,SEGUNDA,TARDE,37,MULHER
ITAIM BIBI,Apple,SEXTA,TARDE,26,HOMEM
SAO LUCAS,Samsung,DOMINGO,NOITE,15,MULHER
BOM RETIRO,Samsung,QUINTA,MANHA,26,MULHER
JARDIM COIMBRA,Samsung,QUARTA,NOITE,36,HOMEM
CIDADE NOVA HELIOPOLIS,Xiaomi,QUARTA,MADRUGADA,31,HOMEM
CIDADE LIDER,Samsung,SABADO,MANHA,32,HOMEM
MOOCA,Apple,QUARTA,NOITE,33,MULHER
PENHA,Apple,SEGUNDA,TARDE,23,HOMEM
JARDIM LIDERANCA,Samsung,QUINTA,MANHA,46,HOMEM
ITAIM BIBI,Apple,SEXTA,NOITE,70,MULHER
BARRA FUNDA,Apple,SEXTA,NOITE,15,HOMEM
MOEMA,Apple,SEXTA,NOITE,50,HOMEM
JARDIM DAS FLORES,Motorola,TERCA,TARDE,66,MULHER
ITAIM PAULISTA,Motorola,TERCA,NOITE,48,HOMEM
JARDIM COLINA,Xiaomi,DOMINGO,NOITE,19,MULHER
PEDREIRA,Samsung,SEXTA,NOITE,37,HOMEM
JARDIM DA GLORIA,Outros,QUARTA,MADRUGADA,27,MULHER
MORUMBI,Apple,SEGUNDA,NOITE,27,MULHER
LIMAO,Samsung,QUARTA,MANHA,42,HOMEM
JARAGUA,Samsung,QUINTA,NOITE,81,HOMEM
JOSE BONIFACIO,Xiaomi,SEXTA,NOITE,50,HOMEM
CAMPOS ELISEOS,Outros,SEGUNDA,MANHA,52,MULHER
BARRA FUNDA,Motorola,DOMINGO,NOITE,74,HOMEM
BELA VISTA,Samsung,SEXTA,TARDE,22,HOMEM
PINHEIROS,Apple,SEXTA,NOITE,43,HOMEM
MOEMA,Samsung,DOMINGO,NOITE,29,MULHER
SE,Outros,SEXTA,TARDE,48,HOMEM
LIBERDADE,Xiaomi,QUARTA,TARDE,27,MULHER
ERMELINO MATARAZZO,Motorola,DOMINGO,NOITE,54,MULHER
PIRITUBA,Nokia,QUINTA,TARDE,28,HOMEM
