BAIRRO,MARCA_OBJETO,DIA_SEMANA,PERIODO,IDADE,SEXO,RUBRICA,DESCR_SUBTIPOLOCAL
REPUBLICA,Xiaomi,QUARTA,TARDE,33,MULHER,ROUBO,Via Publica
SE,Samsung,TERCA,NOITE,38,HOMEM,ROUBO,Via Publica
LIBERDADE,Samsung,SEXTA,MANHA,78,HOMEM,FURTO,Transporte Privado
SE,Motorola,QUINTA,MANHA,50,MULHER,FURTO,Via Publica
SE,Samsung,QUARTA,NOITE,20,HOMEM,ROUBO,Via Publica
SE,Samsung,SEXTA,MANHA,19,HOMEM,FURTO,Via Publica
LIBERDADE,LG,SEXTA,TARDE,58,HOMEM,FURTO,Via Publica
SE,Xiaomi,SEXTA,MANHA,64,MULHER,ROUBO,Via Publica
SE,Apple,QUARTA,NOITE,25,MULHER,ROUBO,Via Publica
SE,Apple,SEXTA,TARDE,37,MULHER,FURTO,Via Publica
BRAS,Apple,SEXTA,NOITE,18,MULHER,ROUBO,Via Publica
SE,LG,SEXTA,NOITE,30,HOMEM,ROUBO,Via Publica
SE,Apple,SEXTA,TARDE,31,MULHER,ROUBO,Via Publica
CENTRO HISTORICO DE SAO PAULO,Outros,SEXTA,NOITE,53,HOMEM,ROUBO,Via Publica
CENTRO HISTORICO DE SAO PAULO,Outros,SEXTA,NOITE,35,MULHER,ROUBO,Via Publica
LIBERDADE,Samsung,SEXTA,NOITE,38,HOMEM,FURTO,Via Publica
SE,Apple,SABADO,MANHA,73,HOMEM,ROUBO,Via Publica
SE,Apple,SABADO,MANHA,72,HOMEM,ROUBO,Via Publica
SE,Apple,SEXTA,TARDE,33,MULHER,FURTO,Via Publica
SE,Apple,QUINTA,MANHA,26,MULHER,ROUBO,Via Publica
SE,Apple,SABADO,TARDE,38,MULHER,FURTO,Via Publica
SE,Samsung,SABADO,TARDE,41,HOMEM,FURTO,Transporte Privado
SE,Apple,QUARTA,NOITE,43,HOMEM,ROUBO,Via Publica
SE,Samsung,SABADO,TARDE,51,MULHER,FURTO,Via Publica
SE,Apple,SABADO,MANHA,36,MULHER,ROUBO,Via Publica
SE,Apple,SABADO,MANHA,18,HOMEM,ROUBO,Via Publica
SE,Samsung,QUINTA,TARDE,18,MULHER,ROUBO,Transporte Publico
LIBERDADE,Apple,SABADO,TARDE,19,MULHER,FURTO,Via Publica
SE,Xiaomi,SEXTA,MANHA,84,HOMEM,ROUBO,Via Publica
CENTRO HISTORICO DE SAO PAULO,Apple,SABADO,TARDE,68,HOMEM,FURTO,Transporte Privado
SE,Apple,SABADO,TARDE,47,HOMEM,ROUBO,Via Publica
LIBERDADE,Xiaomi,SABADO,NOITE,56,HOMEM,FURTO,Via Publica
SE,Samsung,SABADO,MANHA,37,HOMEM,ROUBO,Via Publica
SE,Xiaomi,QUINTA,NOITE,22,MULHER,ROUBO,Via Publica
SE,Xiaomi,QUINTA,NOITE,27,MULHER,ROUBO,Via Publica
SE,Apple,QUINTA,TARDE,73,HOMEM,FURTO,Via Publica
LIBERDADE,Apple,DOMINGO,MANHA,15,MULHER,FURTO,Via Publica
SE,Samsung,SABADO,NOITE,25,MULHER,ROUBO,Via Publica
LIBERDADE,Samsung,DOMINGO,TARDE,18,HOMEM,ROUBO,Via Publica
SE,Apple,SABADO,TARDE,46,MULHER,ROUBO,Via Publica
SE,Outros,SEXTA,NOITE,82,MULHER,ROUBO,Via Publica
SE,Samsung,SABADO,TARDE,58,HOMEM,ROUBO,Via Publica
SE,Samsung,DOMINGO,TARDE,80,HOMEM,FURTO,Via Publica
LIBERDADE,Apple,DOMINGO,TARDE,16,MULHER,ROUBO,Via Publica
SE,Samsung,SEXTA,MANHA,36,HOMEM,ROUBO,Transporte Publico
BELA VISTA,Huawei,DOMINGO,NOITE,44,HOMEM,FURTO,Alimentacao
BELA VISTA,Huawei,DOMINGO,NOITE,51,MULHER,FURTO,Alimentacao
LIBERDADE,Apple,SEXTA,TARDE,22,MULHER,FURTO,Via Publica
SE,Samsung,SABADO,NOITE,46,HOMEM,ROUBO,Via Publica
SE,Outros,DOMINGO,NOITE,43,MULHER,ROUBO,Via Publica
SE,Xiaomi,DOMINGO,NOITE,19,HOMEM,FURTO,Via Publica
SE,Outros,SEXTA,TARDE,48,HOMEM,ROUBO,Via Publica
LIBERDADE,Motorola,SEGUNDA,MANHA,57,HOMEM,FURTO,Via Publica
CENTRO HISTORICO DE SAO PAULO,Apple,SEXTA,TARDE,31,HOMEM,FURTO,Via Publica
SE,Apple,SEXTA,TARDE,53,MULHER,ROUBO,Via Publica
CENTRO HISTORICO DE SAO PAULO,Apple,SEGUNDA,MANHA,38,HOMEM,ROUBO,Via Publica
SE,Samsung,SEGUNDA,MANHA,32,MULHER,ROUBO,Transporte Publico
SE,Apple,DOMINGO,TARDE,28,MULHER,ROUBO,Via Publica
SE,Apple,DOMINGO,TARDE,83,HOMEM,ROUBO,Via Publica
SE,Apple,DOMINGO,TARDE,48,MULHER,ROUBO,Via Publica
CENTRO,Apple,SEXTA,MANHA,26,MULHER,ROUBO,Via Publica
CENTRO HISTORICO DE SAO PAULO,Samsung,SABADO,MANHA,55,HOMEM,ROUBO,Via Publica
LIBERDADE,Outros,DOMINGO,MANHA,23,MULHER,FURTO,Via Publica
LIBERDADE,Outros,DOMINGO,MANHA,84,MULHER,FURTO,Via Publica
LIBERDADE,Samsung,SEXTA,TARDE,18,HOMEM,FURTO,Via Publica
CENTRO HISTORICO DE SAO PAULO,Samsung,SABADO,TARDE,34,MULHER,ROUBO,Via Publica
SE,Apple,SEGUNDA,MANHA,20,HOMEM,FURTO,Via Publica
SE,Apple,SABADO,TARDE,21,MULHER,FURTO,Via Publica
REPUBLICA,Apple,SABADO,MADRUGADA,31,MULHER,FURTO,Via Publica
REPUBLICA,Apple,SABADO,MADRUGADA,48,MULHER,FURTO,Via Publica
LIBERDADE,Apple,DOMINGO,TARDE,82,MULHER,FURTO,Via Publica
SE,Apple,DOMINGO,TARDE,46,MULHER,FURTO,Via Publica
SE,Samsung,QUINTA,NOITE,38,MULHER,ROUBO,Via Publica
CENTRO HISTORICO DE SAO PAULO,Outros,TERCA,TARDE,41,MULHER,FURTO,Via Publica
SE,Motorola,SABADO,NOITE,32,MULHER,ROUBO,Via Publica
SE,Xiaomi,DOMINGO,MANHA,56,MULHER,ROUBO,Via Publica
SE,Motorola,DOMINGO,MANHA,53,MULHER,ROUBO,Via Publica
CENTRO HISTORICO DE SAO PAULO,Motorola,DOMINGO,MANHA,36,HOMEM,ROUBO,Via Publica
LIBERDADE,Apple,DOMINGO,TARDE,43,HOMEM,FURTO,Via Publica
SE,Samsung,SEGUNDA,MANHA,54,MULHER,FURTO,Transporte Publico
LIBERDADE,Apple,SEGUNDA,NOITE,56,MULHER,FURTO,Via Publica
CENTRO HISTORICO DE SAO PAULO,Apple,DOMINGO,TARDE,43,MULHER,ROUBO,Via Publica
CENTRO HISTORICO DE SAO PAULO,Apple,DOMINGO,TARDE,45,HOMEM,ROUBO,Via Publica
CENTRO HISTORICO DE SAO PAULO,Apple,SEGUNDA,MANHA,29,HOMEM,ROUBO,Via Publica
SE,Samsung,SEGUNDA,MANHA,40,HOMEM,FURTO,Via Publica
SE,Samsung,SABADO,TARDE,16,MULHER,ROUBO,Via Publica
SE,Positivo,DOMINGO,NOITE,31,MULHER,ROUBO,Transporte Publico
SE,Motorola,SEGUNDA,TARDE,43,HOMEM,ROUBO,Via Publica
SE,Apple,SABADO,TARDE,36,MULHER,ROUBO,Via Publica
BRAS,Xiaomi,DOMINGO,MANHA,21,MULHER,FURTO,Via Publica
SE,Outros,SABADO,TARDE,16,HOMEM,ROUBO,Via Publica
CAMBUCI,Apple,SEGUNDA,TARDE,70,HOMEM,ROUBO,Via Publica
CENTRO HISTORICO DE SAO PAULO,Samsung,SABADO,NOITE,44,MULHER,ROUBO,Via Publica
CENTRO HISTORICO DE SAO PAULO,Motorola,DOMINGO,TARDE,26,MULHER,ROUBO,Via Publica
REPUBLICA,Apple,TERCA,MANHA,37,HOMEM,ROUBO,Via Publica
SE,Xiaomi,TERCA,MADRUGADA,30,HOMEM,ROUBO,Via Publica
SE,Outros,DOMINGO,MANHA,15,HOMEM,FURTO,Via Publica
CENTRO HISTORICO DE SAO PAULO,Samsung,SABADO,MANHA,32,HOMEM,FURTO,Via Publica
CANINDE,Samsung,DOMINGO,NOITE,33,MULHER,FURTO,Via Publica
SE,Motorola,DOMINGO,NOITE,22,MULHER,ROUBO,Via Publica
SE,Motorola,DOMINGO,NOITE,15,HOMEM,ROUBO,Via Publica
BRAS,Apple,SEGUNDA,NOITE,47,HOMEM,FURTO,Via Publica
REPUBLICA,Apple,SEGUNDA,NOITE,40,HOMEM,ROUBO,Via Publica
SE,Asus,TERCA,MANHA,38,HOMEM,ROUBO,Via Publica
SE,Samsung,SEGUNDA,TARDE,52,MULHER,ROUBO,Via Publica
CENTRO HISTORICO DE SAO PAULO,Motorola,DOMINGO,TARDE,49,MULHER,ROUBO,Via Publica
SE,Samsung,SEGUNDA,NOITE,27,MULHER,FURTO,Transporte Publico
SE,Outros,SABADO,NOITE,20,HOMEM,ROUBO,Via Publica
LIBERDADE,Apple,TERCA,TARDE,64,HOMEM,FURTO,Transporte Privado
REPUBLICA,Motorola,TERCA,MANHA,51,HOMEM,ROUBO,Via Publica
LIBERDADE,Xiaomi,TERCA,TARDE,41,HOMEM,FURTO,Via Publica
SE,Nokia,TERCA,TARDE,57,HOMEM,ROUBO,Via Publica
SE,Nokia,TERCA,TARDE,22,HOMEM,ROUBO,Via Publica
SE,Xiaomi,TERCA,TARDE,56,MULHER,FURTO,Via Publica
SE,Motorola,TERCA,NOITE,19,MULHER,ROUBO,Via Publica
SE,Motorola,TERCA,NOITE,55,MULHER,ROUBO,Via Publica
CANINDE,Outros,TERCA,TARDE,58,HOMEM,FURTO,Via Publica
LIBERDADE,Samsung,TERCA,TARDE,32,HOMEM,ROUBO,Via Publica
SE,Samsung,TERCA,TARDE,37,HOMEM,ROUBO,Transporte Publico
BRAS,Apple,SEGUNDA,TARDE,30,MULHER,FURTO,Transporte Privado
SE,Xiaomi,QUARTA,MADRUGADA,22,HOMEM,ROUBO,Via Publica
CENTRO HISTORICO DE SAO PAULO,Samsung,QUARTA,MANHA,33,MULHER,ROUBO,Via Publica
SE,Samsung,TERCA,NOITE,54,HOMEM,ROUBO,Via Publica
SE,Samsung,QUARTA,MADRUGADA,28,MULHER,ROUBO,Via Publica
CENTRO HISTORICO DE SAO PAULO,Apple,TERCA,TARDE,21,HOMEM,ROUBO,Via Publica
SE,Samsung,QUARTA,TARDE,29,HOMEM,ROUBO,Via Publica
CENTRO HISTORICO DE SAO PAULO,Motorola,TERCA,NOITE,58,HOMEM,ROUBO,Via Publica
SE,Xiaomi,SEGUNDA,NOITE,41,HOMEM,FURTO,Via Publica
SE,Outros,QUARTA,TARDE,28,HOMEM,FURTO,Via Publica
SE,Outros,SEGUNDA,TARDE,40,MULHER,FURTO,Via Publica
BELA VISTA,Apple,QUARTA,TARDE,33,HOMEM,ROUBO,Via Publica
LIBERDADE,Samsung,QUARTA,NOITE,25,HOMEM,ROUBO,Via Publica
LIBERDADE,Samsung,QUARTA,NOITE,67,HOMEM,ROUBO,Via Publica
LIBERDADE,Samsung,QUARTA,NOITE,28,HOMEM,ROUBO,Via Publica
SE,Samsung,QUARTA,TARDE,27,HOMEM,FURTO,Via Publica
SE,Xiaomi,TERCA,NOITE,18,HOMEM,ROUBO,Via Publica
CENTRO HISTORICO DE SAO PAULO,Motorola,QUARTA,TARDE,43,HOMEM,ROUBO,Via Publica
SE,Apple,QUARTA,TARDE,23,HOMEM,ROUBO,Via Publica
MOOCA,Motorola,DOMINGO,TARDE,53,MULHER,ROUBO,Via Publica
CANINDE,Samsung,QUARTA,TARDE,35,HOMEM,ROUBO,Via Publica
SE,Motorola,QUINTA,MANHA,16,HOMEM,ROUBO,Via Publica
SE,Samsung,QUINTA,MANHA,55,MULHER,FURTO,Transporte Publico
SE,Apple,QUINTA,MANHA,36,MULHER,FURTO,Transporte Privado
LIBERDADE,Samsung,QUARTA,NOITE,33,MULHER,FURTO,Via Publica
SE,LG,QUARTA,MANHA,41,MULHER,FURTO,Via Publica
SE,Samsung,DOMINGO,TARDE,27,MULHER,FURTO,Via Publica
SE,Apple,QUARTA,NOITE,20,MULHER,FURTO,Via Publica
SE,Xiaomi,QUARTA,TARDE,72,HOMEM,FURTO,Via Publica
CENTRO HISTORICO DE SAO PAULO,Samsung,QUINTA,MANHA,15,HOMEM,FURTO,Via Publica
LIBERDADE,Samsung,QUARTA,NOITE,36,HOMEM,ROUBO,Via Publica
LIBERDADE,Asus,SEGUNDA,TARDE,46,HOMEM,FURTO,Via Publica
SE,Motorola,TERCA,TARDE,48,HOMEM,FURTO,Via Publica
CENTRO HISTORICO DE SAO PAULO,Apple,QUARTA,TARDE,18,HOMEM,FURTO,Via Publica
CENTRO HISTORICO DE SAO PAULO,Motorola,QUINTA,MANHA,34,MULHER,ROUBO,Via Publica
CENTRO HISTORICO DE SAO PAULO,Outros,SEGUNDA,TARDE,30,HOMEM,FURTO,Transporte Privado
LIBERDADE,Apple,QUARTA,MANHA,49,HOMEM,FURTO,Transporte Privado
SE,Apple,QUINTA,MANHA,68,HOMEM,FURTO,Via Publica
SE,Samsung,QUARTA,NOITE,31,MULHER,ROUBO,Via Publica
LIBERDADE,Samsung,TERCA,NOITE,26,MULHER,FURTO,Via Publica
LIBERDADE,Samsung,QUINTA,NOITE,28,MULHER,FURTO,Via Publica
LIBERDADE,Apple,QUINTA,NOITE,49,MULHER,FURTO,Via Publica
SE,Apple,QUINTA,TARDE,23,MULHER,FURTO,Via Publica
CENTRO HISTORICO DE SAO PAULO,Apple,QUARTA,TARDE,15,MULHER,ROUBO,Via Publica
SE,Motorola,QUINTA,MANHA,43,HOMEM,ROUBO,Via Publica
SE,Apple,SEXTA,TARDE,35,MULHER,ROUBO,Via Publica
SE,Samsung,QUARTA,NOITE,28,MULHER,ROUBO,Via Publica
LIBERDADE,Samsung,QUINTA,NOITE,56,MULHER,FURTO,Via Publica
SE,Motorola,SEXTA,TARDE,22,MULHER,FURTO,Via Publica
SE,Samsung,QUINTA,NOITE,21,MULHER,ROUBO,Transporte Publico
SE,Xiaomi,SABADO,MANHA,64,MULHER,ROUBO,Via Publica
LIBERDADE,Apple,QUINTA,NOITE,20,HOMEM,FURTO,Via Publica
SE,Samsung,SABADO,TARDE,67,HOMEM,ROUBO,Via Publica
LIBERDADE,Samsung,SEXTA,NOITE,71,MULHER,FURTO,Via Publica
SE,Samsung,SEXTA,TARDE,28,HOMEM,FURTO,Via Publica
CENTRO HISTORICO DE SAO PAULO,Xiaomi,SEXTA,NOITE,29,MULHER,ROUBO,Via Publica
SE,LG,QUINTA,NOITE,45,HOMEM,ROUBO,Transporte Publico
LIBERDADE,Apple,SEXTA,NOITE,16,HOMEM,FURTO,Via Publica
SE,Samsung,SEXTA,TARDE,28,HOMEM,ROUBO,Via Publica
CENTRO HISTORICO DE SAO PAULO,Outros,SEXTA,NOITE,22,MULHER,ROUBO,Via Publica
CENTRO HISTORICO DE SAO PAULO,Apple,SABADO,MANHA,36,HOMEM,FURTO,Via Publica
LIBERDADE,Motorola,SEXTA,TARDE,40,MULHER,FURTO,Via Publica
SE,Apple,SEXTA,TARDE,56,HOMEM,FURTO,Via Publica
SE,Apple,SEXTA,TARDE,46,HOMEM,FURTO,Via Publica
SE,Apple,SABADO,MANHA,37,MULHER,FURTO,Via Publica
SE,Samsung,SEXTA,TARDE,36,HOMEM,ROUBO,Via Publica
BRAS,Outros,SABADO,NOITE,56,HOMEM,FURTO,Via Publica
SE,Xiaomi,SABADO,NOITE,23,HOMEM,ROUBO,Via Publica
SE,Xiaomi,SABADO,NOITE,71,MULHER,ROUBO,Via Publica
CANINDE,Apple,SEXTA,TARDE,20,HOMEM,FURTO,Transporte Privado
LIBERDADE,Samsung,QUINTA,NOITE,29,MULHER,FURTO,Via Publica
SE,Apple,SEXTA,MANHA,33,MULHER,ROUBO,Via Publica
SE,Samsung,SEXTA,NOITE,55,HOMEM,ROUBO,Via Publica
SE,Motorola,SABADO,NOITE,37,MULHER,ROUBO,Via Publica
SE,Motorola,SABADO,TARDE,18,HOMEM,FURTO,Transporte Publico
SE,Apple,SEXTA,NOITE,64,MULHER,FURTO,Via Publica
SE,Samsung,DOMINGO,MADRUGADA,32,MULHER,ROUBO,Via Publica
SE,Xiaomi,DOMINGO,MANHA,53,MULHER,ROUBO,Via Publica
SE,Outros,DOMINGO,MADRUGADA,58,HOMEM,ROUBO,Via Publica
CANINDE,Samsung,SABADO,TARDE,26,MULHER,ROUBO,Via Publica
SE,Apple,DOMINGO,MANHA,40,MULHER,ROUBO,Via Publica
LIBERDADE,Samsung,DOMINGO,TARDE,18,HOMEM,FURTO,Via Publica
LIBERDADE,Samsung,DOMINGO,TARDE,20,HOMEM,FURTO,Transporte Publico
CAMBUCI,Motorola,SABADO,TARDE,58,HOMEM,ROUBO,Via Publica
LIBERDADE,Apple,DOMINGO,TARDE,26,MULHER,FURTO,Via Publica
SE,Motorola,DOMINGO,TARDE,20,MULHER,ROUBO,Via Publica
SE,Motorola,DOMINGO,TARDE,55,HOMEM,ROUBO,Via Publica
LIBERDADE,Apple,SEXTA,NOITE,27,HOMEM,ROUBO,Via Publica
SE,Samsung,DOMINGO,MANHA,45,HOMEM,ROUBO,Via Publica
LIBERDADE,Samsung,DOMINGO,TARDE,37,HOMEM,FURTO,Via Publica
LIBERDADE,Samsung,QUINTA,TARDE,68,HOMEM,FURTO,Via Publica
LIBERDADE,Apple,DOMINGO,TARDE,37,HOMEM,FURTO,Via Publica
CENTRO HISTORICO DE SAO PAULO,Samsung,DOMINGO,TARDE,38,MULHER,ROUBO,Via Publica
LIBERDADE,Apple,SABADO,TARDE,38,MULHER,FURTO,Via Publica
LIBERDADE,Motorola,DOMINGO,NOITE,21,MULHER,FURTO,Via Publica
SE,Samsung,DOMINGO,NOITE,38,MULHER,FURTO,Via Publica
SE,Apple,SABADO,MANHA,18,MULHER,ROUBO,Transporte Publico
SE,Xiaomi,SABADO,MANHA,55,MULHER,ROUBO,Via Publica
CENTRO HISTORICO DE SAO PAULO,Apple,SABADO,MANHA,23,MULHER,ROUBO,Via Publica
SE,Motorola,SABADO,NOITE,57,MULHER,ROUBO,Via Publica
LIBERDADE,Apple,DOMINGO,TARDE,38,MULHER,ROUBO,Via Publica
SE,Samsung,DOMINGO,TARDE,38,HOMEM,ROUBO,Via Publica
SE,Samsung,DOMINGO,TARDE,38,MULHER,ROUBO,Via Publica
SE,Xiaomi,DOMINGO,TARDE,63,MULHER,ROUBO,Via Publica
LIBERDADE,Samsung,DOMINGO,NOITE,54,HOMEM,ROUBO,Via Publica
SE,Apple,DOMINGO,TARDE,25,HOMEM,ROUBO,Via Publica
BRAS,Samsung,DOMINGO,NOITE,28,HOMEM,FURTO,Via Publica
SE,Samsung,DOMINGO,NOITE,46,HOMEM,ROUBO,Via Publica
SE,Samsung,DOMINGO,NOITE,34,HOMEM,ROUBO,Via Publica
CENTRO HISTORICO DE SAO PAULO,Outros,DOMINGO,NOITE,56,MULHER,ROUBO,Via Publica
CENTRO HISTORICO DE SAO PAULO,Outros,DOMINGO,NOITE,25,MULHER,ROUBO,Via Publica
SE,Xiaomi,SEGUNDA,MANHA,58,MULHER,FURTO,Via Publica
SE,Samsung,SEGUNDA,TARDE,56,HOMEM,ROUBO,Via Publica
LIBERDADE,Apple,SABADO,TARDE,72,MULHER,FURTO,Via Publica
LIBERDADE,Samsung,SEXTA,NOITE,52,MULHER,ROUBO,Via Publica
BRAS,Apple,SEGUNDA,MANHA,15,MULHER,FURTO,Via Publica
SE,Motorola,SEGUNDA,TARDE,33,HOMEM,ROUBO,Transporte Publico
LIBERDADE,Apple,SEGUNDA,TARDE,53,HOMEM,FURTO,Via Publica
SE,LG,SEGUNDA,NOITE,35,HOMEM,ROUBO,Via Publica
SE,Samsung,SEGUNDA,TARDE,36,MULHER,ROUBO,Via Publica
CENTRO HISTORICO DE SAO PAULO,Xiaomi,DOMINGO,TARDE,32,HOMEM,ROUBO,Via Publica
SE,Apple,SEGUNDA,MANHA,50,MULHER,ROUBO,Via Publica
LIBERDADE,Samsung,SEGUNDA,NOITE,26,HOMEM,FURTO,Via Publica
REPUBLICA,Samsung,SEGUNDA,TARDE,38,HOMEM,ROUBO,Via Publica
SE,Motorola,SEGUNDA,NOITE,43,MULHER,ROUBO,Via Publica
BELA VISTA,Motorola,TERCA,TARDE,28,HOMEM,FURTO,Transporte Publico
LIBERDADE,Samsung,TERCA,TARDE,19,HOMEM,FURTO,Transporte Privado
BELA VISTA,Apple,SEGUNDA,TARDE,32,MULHER,FURTO,Via Publica
SE,Outros,SEGUNDA,NOITE,62,HOMEM,FURTO,Via Publica
SE,Apple,TERCA,TARDE,34,MULHER,ROUBO,Via Publica
SE,Apple,SEGUNDA,NOITE,35,HOMEM,ROUBO,Via Publica
SE,Apple,QUARTA,MADRUGADA,50,MULHER,ROUBO,Transporte Publico
SE,Apple,QUARTA,MADRUGADA,22,HOMEM,ROUBO,Transporte Publico
CENTRO HISTORICO DE SAO PAULO,Samsung,SEGUNDA,NOITE,15,HOMEM,ROUBO,Via Publica
LIBERDADE,Apple,TERCA,TARDE,54,MULHER,FURTO,Transporte Publico
SE,Apple,SEGUNDA,NOITE,44,HOMEM,ROUBO,Via Publica
SE,Apple,TERCA,TARDE,55,HOMEM,ROUBO,Via Publica
SE,Samsung,SEGUNDA,NOITE,29,HOMEM,ROUBO,Via Publica
SE,Apple,TERCA,TARDE,38,HOMEM,FURTO,Transporte Publico
SE,Apple,SEGUNDA,NOITE,21,HOMEM,ROUBO,Via Publica
SE,Apple,SEGUNDA,NOITE,30,HOMEM,ROUBO,Via Publica
SE,Apple,SEGUNDA,NOITE,80,MULHER,ROUBO,Via Publica
SE,Samsung,DOMINGO,MANHA,38,MULHER,ROUBO,Via Publica
SE,Apple,TERCA,MANHA,18,HOMEM,FURTO,Via Publica
SE,Xiaomi,TERCA,MANHA,36,HOMEM,ROUBO,Transporte Publico
SE,Samsung,TERCA,MANHA,57,MULHER,ROUBO,Via Publica
SE,Xiaomi,DOMINGO,NOITE,23,MULHER,ROUBO,Transporte Publico
SE,Apple,QUARTA,MADRUGADA,66,MULHER,ROUBO,Transporte Publico
SE,Samsung,SEGUNDA,NOITE,18,HOMEM,ROUBO,Via Publica
SE,Apple,TERCA,MANHA,31,MULHER,ROUBO,Via Publica
SE,Samsung,TERCA,NOITE,60,HOMEM,FURTO,Via Publica
SE,Samsung,SEGUNDA,NOITE,50,HOMEM,ROUBO,Via Publica
SE,Apple,QUARTA,MANHA,26,HOMEM,FURTO,Transporte Privado
SE,Apple,QUARTA,MANHA,46,HOMEM,FURTO,Transporte Privado
LIBERDADE,Xiaomi,QUARTA,NOITE,37,HOMEM,FURTO,Transporte Privado
SE,Samsung,TERCA,TARDE,77,MULHER,FURTO,Via Publica
BRAS,Motorola,TERCA,NOITE,43,MULHER,FURTO,Via Publica
SE,Xiaomi,QUARTA,MANHA,20,MULHER,ROUBO,Transporte Publico
SE,Samsung,TERCA,TARDE,83,MULHER,ROUBO,Via Publica
MOOCA,LG,QUARTA,NOITE,49,MULHER,FURTO,Via Publica
SE,Samsung,QUARTA,NOITE,41,MULHER,ROUBO,Via Publica
SE,Samsung,QUARTA,NOITE,27,HOMEM,ROUBO,Via Publica
LIBERDADE,Apple,TERCA,MANHA,56,HOMEM,FURTO,Via Publica
SE,Apple,TERCA,TARDE,27,MULHER,FURTO,Via Publica
SE,Samsung,TERCA,NOITE,16,MULHER,ROUBO,Via Publica
LIBERDADE,Apple,TERCA,TARDE,83,HOMEM,FURTO,Via Publica
SE,Xiaomi,TERCA,NOITE,36,MULHER,ROUBO,Via Publica
LIBERDADE,Samsung,QUARTA,TARDE,18,HOMEM,FURTO,Via Publica
SE,Samsung,QUARTA,NOITE,33,MULHER,ROUBO,Via Publica
SE,Samsung,QUARTA,TARDE,25,MULHER,FURTO,Via Publica
SE,Samsung,TERCA,MANHA,28,HOMEM,ROUBO,Via Publica
LIBERDADE,Samsung,SABADO,NOITE,18,HOMEM,ROUBO,Via Publica
SE,Apple,QUARTA,NOITE,50,HOMEM,FURTO,Via Publica
